#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	metaphlan_r_uc_FKO01_S1	metaphlan_r_uc_FKO03_S2	metaphlan_r_uc_FKO04_S3	metaphlan_r_uc_FKO05_S4	metaphlan_r_uc_FKO06_S5	metaphlan_r_uc_FKO07_S6	metaphlan_r_uc_FKO08_S7	metaphlan_r_uc_FKO09_S8	metaphlan_r_uc_FWT01_S10	metaphlan_r_uc_FWT02_S11	metaphlan_r_uc_FWT03_S12	metaphlan_r_uc_FWT04_S13	metaphlan_r_uc_FWT05_S14	metaphlan_r_uc_FWT06_S15	metaphlan_r_uc_FWT07_S16	metaphlan_r_uc_FWT10_S19	metaphlan_r_uc_FYEX-2_S52	metaphlan_r_uc_FYEX-4_S54	metaphlan_r_uc_FYEX-5_S55	metaphlan_r_uc_FYKO-5_S44	metaphlan_r_uc_FYWT-1_S59	metaphlan_r_uc_FYWT-3_S60	metaphlan_r_uc_MKO01_S20	metaphlan_r_uc_MKO02_S21	metaphlan_r_uc_MKO03_S22	metaphlan_r_uc_MKO04_S23	metaphlan_r_uc_MKO05_S24	metaphlan_r_uc_MKO06_S25	metaphlan_r_uc_MKO07_S26	metaphlan_r_uc_MKO08_S27	metaphlan_r_uc_MKO09_S28	metaphlan_r_uc_MKO10_S29	metaphlan_r_uc_MWT01_S30	metaphlan_r_uc_MWT03_S32	metaphlan_r_uc_MWT05_S33	metaphlan_r_uc_MWT07_S35	metaphlan_r_uc_MWT08_S36	metaphlan_r_uc_MYEX-10_S84	metaphlan_r_uc_MYEX-11_S85	metaphlan_r_uc_MYEX-1_S76	metaphlan_r_uc_MYEX-2_S77	metaphlan_r_uc_MYEX-5_S79	metaphlan_r_uc_MYEX-6_S80	metaphlan_r_uc_MYEX-7_S81	metaphlan_r_uc_MYEX-8_S82	metaphlan_r_uc_MYKO-2_S67	metaphlan_r_uc_MYKO-4_S69	metaphlan_r_uc_MYKO-5_S70	metaphlan_r_uc_MYKO-6_S71	metaphlan_r_uc_MYKO-7_S72	metaphlan_r_uc_MYKO-9_S74	metaphlan_r_uc_MYWT-3_S88	metaphlan_r_uc_MYWT-6_S91
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	97.82378	95.65728	99.84346	97.44878	57.11439	92.54059	90.08854	99.24052	52.29624	73.0606	94.52499	71.8086	98.95086	65.31882	55.34609	69.27519	42.7101	60.82403	70.67026	57.01315	87.00491	73.88003	87.28734	96.98948	81.90041	71.63494	80.31073	77.82169	57.5915	75.46303	55.9967	75.18318	7.68729	43.09364	15.8005	2.8211	45.49608	91.16815	70.46911	98.1069	63.96487	85.59952	59.30621	91.88516	94.43471	44.91528	39.35327	88.84798	82.19846	82.32092	98.92278	95.98354	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	1.21159	2.38325	0.12366	0.18211	7.52568	6.52153	4.64813	0.57779	6.3366	12.32659	1.3679	3.90778	0.29038	3.10724	44.21949	17.36115	11.43199	7.58217	28.27427	36.04485	0.42573	5.82262	10.0017	1.5042	8.44554	26.83142	14.98696	6.60373	6.60202	16.06307	7.15	4.1313	81.47479	51.73208	83.26615	97.07959	50.9997	1.39741	2.59959	1.80657	0.0	1.11211	1.08204	4.95787	5.45135	3.90138	2.37162	2.09342	3.20079	3.09921	0.0	0.4754	3.64229
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	0.60296	1.84135	0.03289	0.0	33.19384	0.75127	5.12108	0.01582	31.02632	14.44722	2.37668	18.07334	0.10406	25.28074	0.02789	2.17434	0.0	0.0	0.0	0.0	0.0	0.0	2.71096	1.49285	9.64014	1.51908	4.32879	14.97917	35.2944	0.5401	36.60335	11.59076	4.60921	4.75199	0.41702	0.0	3.50422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46377	0.0	0.0	0.0	0.0	0.0	2.4578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.35508	0.08397	0.0	1.59079	1.31393	0.0	0.0	0.15169	1.58084	0.0	0.92897	0.2591	0.54504	2.60058	0.09165	0.8319	0.0	0.0	0.0	3.26056	2.05182	0.0	0.0	0.0	0.0	0.0	0.22049	0.5243	0.0	0.12207	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03433	0.0	0.0	0.0	0.0	0.01237	0.0	0.0331	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	0.00658	0.01001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00683	0.0	0.0	0.0	0.47701	0.34279	0.92059	0.89586	3.75035	3.85787	0.0	0.01347	0.01391	0.0	0.0	0.0	0.18475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30588	0.0	0.0	0.26627	0.30311	0.00288	0.0	0.11394	0.0	1.19785	0.43757	0.06623	0.0	0.0	0.0055	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	97.82378	95.65728	99.84346	97.44878	57.11439	92.54059	90.08854	99.24052	52.29624	73.0606	94.52499	71.8086	98.95086	65.31882	55.34609	69.27519	42.7101	60.82403	70.67026	57.01315	87.00491	73.88003	87.28734	96.98948	81.90041	71.63494	80.31073	77.82169	57.5915	75.46303	55.9967	75.18318	7.68729	43.09364	15.8005	2.8211	45.49608	91.16815	70.46911	98.1069	63.96487	85.59952	59.30621	91.88516	94.43471	44.91528	39.35327	88.84798	82.19846	82.32092	98.92278	95.98354	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Ligilactobacillus	1.21159	2.37029	0.12366	0.18211	7.52568	6.52153	4.64813	0.57779	6.3366	12.32659	1.3679	3.90778	0.29038	3.10724	44.21403	17.21308	11.43199	7.58217	28.27427	36.04485	0.42573	5.82262	10.0017	1.5042	8.44554	26.83142	14.98696	6.60373	6.60202	16.06307	7.15	0.0	81.47479	51.73208	83.26615	97.07959	50.9997	1.39741	2.59959	1.80657	0.0	1.11211	1.08204	4.95787	5.45135	3.90138	2.37162	2.09342	3.20079	3.09921	0.0	0.4754	3.64229
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0.60296	1.84135	0.03289	0.0	33.17754	0.75127	5.09893	0.01582	31.02632	14.44722	2.37668	18.07334	0.10406	25.16224	0.02789	2.17434	0.0	0.0	0.0	0.0	0.0	0.0	2.71096	1.49285	9.64014	1.51908	4.32879	14.97917	35.2944	0.5401	36.60335	11.59076	4.60921	4.75199	0.41702	0.0	3.50422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46377	0.0	0.0	0.0	0.0	0.0	2.4578
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	0.35508	0.08397	0.0	1.59079	1.31393	0.0	0.0	0.15169	1.58084	0.0	0.92897	0.2591	0.54504	2.60058	0.09165	0.8319	0.0	0.0	0.0	3.26056	2.05182	0.0	0.0	0.0	0.0	0.0	0.22049	0.5243	0.0	0.12207	0.0	0.0	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03433	0.0	0.0	0.0	0.0	0.01237	0.0	0.0331	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	0.00658	0.01001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00683	0.0	0.0	0.0	0.47701	0.34279	0.92059	0.89586	3.75035	3.85787	0.0	0.01347	0.01391	0.0	0.0	0.0	0.18475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30588	0.0	0.0	0.26627	0.30311	0.00288	0.0	0.11394	0.0	1.19785	0.43757	0.06623	0.0	0.0	0.0055	0.0
